Study Area,Region,Area HA,Transect,Length km,Perp Dist,Cluster_Si,Observer,Detected,Observer2,Animal,Latitude,Longitude,Day,Month,Year
AL,Mimal,1717560,M02,55,3,1,Back Left,,Andrew Hoskins,Donkey,-13.9603,134.6455,23,7,2022
AL,Mimal,1717560,M02,55,3,1,Front Left,,Holly L,Donkey,-13.96027,134.6461,23,7,2022
AL,Mimal,1717560,M02,55,6,1,Front Left,,Holly L,Donkey,-13.95985,134.538,23,7,2022
AL,Mimal,1717560,M02,55,3,4,Front Left,,Holly L,Donkey,-13.95984,134.5323,23,7,2022
AL,Mimal,1717560,M02,55,6,5,Front Left,,Holly L,Horse,-13.95979,134.5285,23,7,2022
AL,Mimal,1717560,M02,55,3,1,Back Left,,Andrew Hoskins,Donkey,-13.95972,134.5473,23,7,2022
AL,Mimal,1717560,M02,55,6,6,Back Left,,Andrew Hoskins,Horse,-13.95967,134.5262,23,7,2022
AL,Mimal,1717560,M02,55,5,7,Front Left,,Holly L,Donkey,-13.95954,134.5193,23,7,2022
AL,Mimal,1717560,M02,55,5,15,Back Left,,Andrew Hoskins,Donkey,-13.95952,134.5176,23,7,2022
AL,Mimal,1717560,M02,55,5,3,Back Left,,Andrew Hoskins,Horse,-13.9592,134.4114,23,7,2022
AL,Mimal,1717560,M02,55,5,2,Front Left,,Holly L,Donkey,-13.95886,134.4002,23,7,2022
AL,Mimal,1717560,M02,55,6,6,Front Left,,Holly L,Horse,-13.95836,134.3185,23,7,2022
AL,Mimal,1717560,M02,55,5,1,Back Left,,Andrew Hoskins,Buffalo,-13.95835,134.3379,23,7,2022
AL,Mimal,1717560,M02,55,6,15,Back Left,,Andrew Hoskins,Cattle,-13.95831,134.2699,23,7,2022
AL,Mimal,1717560,M02,55,5,25,Front Left,,Holly L,Cattle,-13.95823,134.2718,23,7,2022
AL,Mimal,1717560,M04,77,1,4,Back Left,,Andrew Hoskins,Cattle,-13.86073,134.2635,23,7,2022
AL,Mimal,1717560,M04,77,1,5,Front Left,,Holly L,Buffalo,-13.86045,134.2617,23,7,2022
AL,Mimal,1717560,M04,77,1,8,Front Left,,Holly L,Horse,-13.86031,134.3105,23,7,2022
AL,Mimal,1717560,M04,77,2,8,Back Left,,Andrew Hoskins,Horse,-13.86028,134.3113,23,7,2022
AL,Mimal,1717560,M04,77,3,2,Back Left,,Andrew Hoskins,Horse,-13.86021,134.317,23,7,2022
AL,Mimal,1717560,M04,77,3,9,Front Left,,Holly L,Donkey,-13.8602,134.3178,23,7,2022
AL,Mimal,1717560,M04,77,2,10,Back Left,,Andrew Hoskins,Donkey,-13.86019,134.3213,23,7,2022
AL,Mimal,1717560,M04,77,6,7,Front Left,,Holly L,Horse,-13.85999,134.3259,23,7,2022
AL,Mimal,1717560,M04,77,6,5,Back Left,,Andrew Hoskins,Horse,-13.85999,134.3259,23,7,2022
AL,Mimal,1717560,M04,77,1,7,Back Left,,Andrew Hoskins,Horse,-13.85986,134.3335,23,7,2022
AL,Mimal,1717560,M04,77,2,7,Front Left,,Holly L,Horse,-13.85986,134.3338,23,7,2022
AL,Mimal,1717560,M04,77,2,3,Front Left,,Holly L,Horse,-13.85985,134.3367,23,7,2022
AL,Mimal,1717560,M04,77,6,5,Back Left,,Andrew Hoskins,Horse,-13.85984,134.4542,23,7,2022
AL,Mimal,1717560,M04,77,6,3,Front Left,,Holly L,Horse,-13.85982,134.4542,23,7,2022
AL,Mimal,1717560,M04,77,6,1,Front Left,,Holly L,Horse,-13.85982,134.4569,23,7,2022
AL,Mimal,1717560,M04,77,6,5,Front Left,,Holly L,Buffalo,-13.8598,134.4526,23,7,2022
AL,Mimal,1717560,M04,77,6,1,Front Left,,Holly L,Horse,-13.85975,134.4503,23,7,2022
AL,Mimal,1717560,M04,77,6,50,Back Left,,Andrew Hoskins,Buffalo,-13.85973,134.4387,23,7,2022
AL,Mimal,1717560,M04,77,5,50,Front Left,,Holly L,Buffalo,-13.85971,134.4336,23,7,2022
AL,Mimal,1717560,M04,77,5,30,Front Left,,Holly L,Buffalo,-13.8597,134.436,23,7,2022
AL,Mimal,1717560,M04,77,6,70,Back Left,,Andrew Hoskins,Buffalo,-13.85969,134.4368,23,7,2022
AL,Mimal,1717560,M04,77,6,7,Front Left,,Holly L,Buffalo,-13.85967,134.4484,23,7,2022
AL,Mimal,1717560,M04,77,6,1,Back Left,,Andrew Hoskins,Horse,-13.85964,134.4481,23,7,2022
AL,Mimal,1717560,M04,77,6,2,Back Left,,Andrew Hoskins,Buffalo,-13.85958,134.4462,23,7,2022
AL,Mimal,1717560,M04,77,6,4,Back Left,,Andrew Hoskins,Buffalo,-13.85956,134.4436,23,7,2022
AL,Mimal,1717560,M04,77,2,6,Front Left,,Holly L,Buffalo,-13.85953,134.4434,23,7,2022
AL,Mimal,1717560,M04,77,5,4,Back Left,,Andrew Hoskins,Horse,-13.85937,134.3741,23,7,2022
AL,Mimal,1717560,M04,77,5,5,Front Left,,Holly L,Buffalo,-13.85937,134.3773,23,7,2022
AL,Mimal,1717560,M04,77,5,4,Front Left,,Holly L,Horse,-13.85935,134.3736,23,7,2022
AL,Mimal,1717560,M04,77,3,3,Front Left,,Holly L,Cattle,-13.85934,134.3696,23,7,2022
AL,Mimal,1717560,M04,77,5,10,Front Left,,Holly L,Buffalo,-13.85932,134.3632,23,7,2022
AL,Mimal,1717560,M04,77,6,8,Back Left,,Andrew Hoskins,Buffalo,-13.8593,134.3646,23,7,2022
AL,Mimal,1717560,M04,77,1,5,Front Left,,Holly L,Donkey,-13.8588,134.7126,23,7,2022
AL,Mimal,1717560,M04,77,1,5,Back Left,,Andrew Hoskins,Donkey,-13.8588,134.7129,23,7,2022
AL,Mimal,1717560,M04,77,6,3,Back Left,,Andrew Hoskins,Horse,-13.8587,134.8461,23,7,2022
AL,Mimal,1717560,M04,77,6,2,Back Left,,Andrew Hoskins,Donkey,-13.8587,134.8469,23,7,2022
AL,Mimal,1717560,M04,77,5,3,Front Left,,Holly L,Horse,-13.85862,134.8487,23,7,2022
AL,Mimal,1717560,M04,77,2,1,Back Left,,Andrew Hoskins,Donkey,-13.85848,134.8087,23,7,2022
AL,Mimal,1717560,M04,77,6,2,Back Left,,Andrew Hoskins,Donkey,-13.85846,134.7584,23,7,2022
AL,Mimal,1717560,M04,77,5,2,Front Left,,Holly L,Donkey,-13.85845,134.7581,23,7,2022
AL,Mimal,1717560,M04,77,6,6,Back Left,,Andrew Hoskins,Horse,-13.85845,134.8377,23,7,2022
AL,Mimal,1717560,M04,77,2,1,Front Left,,Holly L,Donkey,-13.85844,134.8076,23,7,2022
AL,Mimal,1717560,M04,77,6,6,Front Left,,Holly L,Horse,-13.85844,134.8369,23,7,2022
AL,Mimal,1717560,M04,77,6,1,Back Left,,Andrew Hoskins,Buffalo,-13.85843,134.8068,23,7,2022
AL,Mimal,1717560,M04,77,1,13,Back Left,,Andrew Hoskins,Cattle,-13.85843,134.8291,23,7,2022
AL,Mimal,1717560,M04,77,6,6,Front Left,,Holly L,Horse,-13.85841,134.8397,23,7,2022
AL,Mimal,1717560,M04,77,6,3,Front Left,,Holly L,Cattle,-13.8584,134.8001,23,7,2022
AL,Mimal,1717560,M04,77,5,2,Back Left,,Andrew Hoskins,Cattle,-13.85838,134.8591,23,7,2022
AL,Mimal,1717560,M04,77,4,1,Front Left,,Holly L,Cattle,-13.85837,134.6925,23,7,2022
AL,Mimal,1717560,M04,77,5,1,Front Left,,Holly L,Cattle,-13.85835,134.8243,23,7,2022
AL,Mimal,1717560,M04,77,4,1,Front Left,,Holly L,Cattle,-13.85833,134.8599,23,7,2022
AL,Mimal,1717560,M04,77,6,2,Front Left,,Holly L,Cattle,-13.85832,134.7972,23,7,2022
AL,Mimal,1717560,M04,77,1,1,Front Left,,Holly L,Donkey,-13.85832,134.8639,23,7,2022
AL,Mimal,1717560,M04,77,4,1,Front Left,,Holly L,Buffalo,-13.8583,134.5345,23,7,2022
AL,Mimal,1717560,M04,77,4,1,Front Left,,Holly L,Cattle,-13.85828,134.6812,23,7,2022
AL,Mimal,1717560,M04,77,3,1,Back Left,,Andrew Hoskins,Buffalo,-13.85827,134.5348,23,7,2022
AL,Mimal,1717560,M04,77,5,1,Back Left,,Andrew Hoskins,Cattle,-13.85826,134.6804,23,7,2022
AL,Mimal,1717560,M04,77,1,2,Back Left,,Andrew Hoskins,Donkey,-13.85826,134.8215,23,7,2022
AL,Mimal,1717560,M04,77,5,1,Back Left,,Andrew Hoskins,Cattle,-13.85826,134.9025,23,7,2022
AL,Mimal,1717560,M04,77,4,1,Front Left,,Holly L,Cattle,-13.85824,134.9019,23,7,2022
AL,Mimal,1717560,M04,77,1,12,Back Left,,Andrew Hoskins,Donkey,-13.85823,134.8984,23,7,2022
AL,Mimal,1717560,M04,77,1,1,Front Left,,Holly L,Horse,-13.85822,134.7946,23,7,2022
AL,Mimal,1717560,M04,77,2,15,Front Left,,Holly L,Donkey,-13.85822,134.8976,23,7,2022
AL,Mimal,1717560,M04,77,6,1,Front Left,,Holly L,Cattle,-13.8582,134.7888,23,7,2022
AL,Mimal,1717560,M04,77,2,1,Back Left,,Andrew Hoskins,Donkey,-13.85819,134.7764,23,7,2022
AL,Mimal,1717560,M04,77,6,1,Front Left,,Holly L,Buffalo,-13.85816,134.769,23,7,2022
AL,Mimal,1717560,M04,77,3,1,Back Left,,Andrew Hoskins,Cattle,-13.85816,134.9303,23,7,2022
AL,Mimal,1717560,M04,77,6,1,Front Left,,Holly L,Donkey,-13.8581,134.771,23,7,2022
AL,Mimal,1717560,M04,77,3,1,Back Left,,Andrew Hoskins,Buffalo,-13.8581,134.9219,23,7,2022
AL,Mimal,1717560,M04,77,4,1,Front Left,,Holly L,Buffalo,-13.85805,134.9208,23,7,2022
AL,Mimal,1717560,M04,77,5,8,Front Left,,Holly L,Buffalo,-13.85782,134.565,23,7,2022
AL,Mimal,1717560,M04,77,5,1,Front Left,,Holly L,Buffalo,-13.8578,134.5811,23,7,2022
AL,Mimal,1717560,M04,77,2,1,Front Left,,Holly L,Buffalo,-13.85771,134.549,23,7,2022
AL,Mimal,1717560,M04,77,2,1,Back Left,,Andrew Hoskins,Buffalo,-13.85771,134.549,23,7,2022
AL,Mimal,1717560,M04,77,3,6,Back Left,,Andrew Hoskins,Buffalo,-13.85769,134.5663,23,7,2022
AL,Mimal,1717560,M06E,60,3,5,Front Left,,Holly L,Horse,-13.76174,134.7612,23,7,2022
AL,Mimal,1717560,M06E,60,4,4,Back Left,,Andrew Hoskins,Horse,-13.76164,134.7628,23,7,2022
AL,Mimal,1717560,M06E,60,6,2,Front Left,,Holly L,Horse,-13.76154,134.7643,23,7,2022
AL,Mimal,1717560,M06E,60,6,5,Back Left,,Andrew Hoskins,Horse,-13.76145,134.7654,23,7,2022
AL,Mimal,1717560,M06E,60,6,3,Front Left,,Holly L,Horse,-13.76144,134.766,23,7,2022
AL,Mimal,1717560,M06E,60,5,1,Front Left,,Holly L,Horse,-13.76132,134.7814,23,7,2022
AL,Mimal,1717560,M06E,60,6,2,Front Left,,Holly L,Horse,-13.7613,134.7682,23,7,2022
AL,Mimal,1717560,M06E,60,6,3,Back Left,,Andrew Hoskins,Horse,-13.7613,134.7685,23,7,2022
AL,Mimal,1717560,M06E,60,5,1,Front Left,,Holly L,Horse,-13.76124,134.7832,23,7,2022
AL,Mimal,1717560,M06E,60,3,7,Back Left,,Andrew Hoskins,Buffalo,-13.76122,134.6944,23,7,2022
AL,Mimal,1717560,M06E,60,6,6,Back Left,,Andrew Hoskins,Buffalo,-13.76122,134.8033,23,7,2022
AL,Mimal,1717560,M06E,60,3,1,Front Left,,Holly L,Cattle,-13.76121,134.6947,23,7,2022
AL,Mimal,1717560,M06E,60,4,7,Front Left,,Holly L,Buffalo,-13.76119,134.6942,23,7,2022
AL,Mimal,1717560,M06E,60,4,1,Back Left,,Andrew Hoskins,Cattle,-13.76118,134.6937,23,7,2022
AL,Mimal,1717560,M06E,60,5,7,Front Left,,Holly L,Cattle,-13.76118,134.8021,23,7,2022
AL,Mimal,1717560,M06E,60,6,1,Back Left,,Andrew Hoskins,Donkey,-13.76103,134.6909,23,7,2022
AL,Mimal,1717560,M06E,60,4,1,Front Left,,Holly L,Donkey,-13.76098,134.6904,23,7,2022
AL,Mimal,1717560,M06E,60,1,1,Back Left,,Andrew Hoskins,Buffalo,-13.76085,134.6825,23,7,2022
AL,Mimal,1717560,M06E,60,2,1,Front Left,,Holly L,Buffalo,-13.76084,134.683,23,7,2022
AL,Mimal,1717560,M06E,60,5,4,Front Left,,Holly L,Buffalo,-13.76077,134.591,23,7,2022
AL,Mimal,1717560,M06E,60,6,1,Back Left,,Andrew Hoskins,Buffalo,-13.76077,134.5911,23,7,2022
AL,Mimal,1717560,M06E,60,2,2,Back Left,,Andrew Hoskins,Horse,-13.76074,134.5966,23,7,2022
AL,Mimal,1717560,M06E,60,1,1,Back Left,,Andrew Hoskins,Horse,-13.76073,134.9319,23,7,2022
AL,Mimal,1717560,M06E,60,3,2,Front Left,,Holly L,Horse,-13.7607,134.5968,23,7,2022
AL,Mimal,1717560,M06E,60,4,20,Back Left,,Andrew Hoskins,Cattle,-13.76065,134.9244,23,7,2022
AL,Mimal,1717560,M06E,60,5,5,Front Left,,Holly L,Cattle,-13.76065,134.9261,23,7,2022
AL,Mimal,1717560,M06E,60,4,2,Back Left,,Andrew Hoskins,Cattle,-13.76064,134.927,23,7,2022
AL,Mimal,1717560,M06E,60,4,6,Front Left,,Holly L,Cattle,-13.76063,134.9243,23,7,2022
AL,Mimal,1717560,M06E,60,5,1,Front Left,,Holly L,Buffalo,-13.76055,134.6093,23,7,2022
AL,Mimal,1717560,M06E,60,6,1,Front Left,,Holly L,Cattle,-13.76054,134.6116,23,7,2022
AL,Mimal,1717560,M06E,60,5,1,Back Left,,Andrew Hoskins,Buffalo,-13.76052,134.6089,23,7,2022
AL,Mimal,1717560,M06E,60,6,1,Back Left,,Andrew Hoskins,Cattle,-13.76052,134.6102,23,7,2022
AL,Mimal,1717560,M06E,60,6,2,Back Left,,Andrew Hoskins,Buffalo,-13.76052,134.6111,23,7,2022
AL,Mimal,1717560,M06E,60,6,3,Front Left,,Holly L,Buffalo,-13.7605,134.6132,23,7,2022
AL,Mimal,1717560,M06E,60,2,1,Front Left,,Holly L,Cattle,-13.76049,134.6675,23,7,2022
AL,Mimal,1717560,M06E,60,2,1,Back Left,,Andrew Hoskins,Cattle,-13.76041,134.6662,23,7,2022
AL,Mimal,1717560,M06E,60,6,1,Back Left,,Andrew Hoskins,Donkey,-13.76037,134.4989,23,7,2022
AL,Mimal,1717560,M06E,60,5,2,Front Left,,Holly L,Horse,-13.76032,134.5547,23,7,2022
AL,Mimal,1717560,M06E,60,4,1,Front Left,,Holly L,Pig,-13.7602,134.6524,23,7,2022
AL,Mimal,1717560,M06E,60,6,4,Front Left,,Holly L,Horse,-13.76015,134.52,23,7,2022
AL,Mimal,1717560,M06E,60,6,2,Front Left,,Holly L,Horse,-13.7599,134.5441,23,7,2022
AL,Mimal,1717560,M06E,60,4,2,Front Left,,Holly L,Buffalo,-13.75905,134.4779,23,7,2022
AL,Mimal,1717560,M06E,60,3,2,Back Left,,Andrew Hoskins,Buffalo,-13.75891,134.4808,23,7,2022
AL,Mimal,1717560,M06W,77,3,3,Back Left,,Andrew Hoskins,Donkey,-13.76412,134.4189,23,7,2022
AL,Mimal,1717560,M06W,77,6,2,Back Left,,Andrew Hoskins,Donkey,-13.76329,134.361,23,7,2022
AL,Mimal,1717560,M06W,77,6,1,Front Left,,Holly L,Donkey,-13.76328,134.361,23,7,2022
AL,Mimal,1717560,M06W,77,6,2,Front Left,,Holly L,Donkey,-13.76311,134.363,23,7,2022
AL,Mimal,1717560,M06W,77,6,3,Back Left,,Andrew Hoskins,Donkey,-13.76311,134.363,23,7,2022
AL,Mimal,1717560,M06W,77,6,1,Back Left,,Andrew Hoskins,Donkey,-13.76303,134.367,23,7,2022
AL,Mimal,1717560,M06W,77,6,1,Front Left,,Holly L,Donkey,-13.76302,134.3667,23,7,2022
AL,Mimal,1717560,M06W,77,6,35,Back Left,,Andrew Hoskins,Cattle,-13.76055,134.2357,23,7,2022
AL,Mimal,1717560,M06W,77,6,40,Front Left,,Holly L,Cattle,-13.7605,134.2371,23,7,2022
AL,Mimal,1717560,M06W,77,5,6,Back Left,,Andrew Hoskins,Horse,-13.75988,134.1893,23,7,2022
AL,Mimal,1717560,M06W,77,4,4,Front Left,,Holly L,Horse,-13.75987,134.1902,23,7,2022
AL,Mimal,1717560,M06W,77,5,1,Back Left,,Andrew Hoskins,Buffalo,-13.75611,133.8183,23,7,2022
AL,Mimal,1717560,M08E,76,5,2,Front Left,,Holly L,Cattle,-13.65612,134.3255,23,7,2022
AL,Mimal,1717560,M08W,70,5,3,Front Left,,Holly L,Cattle,-13.65227,133.7453,23,7,2022
AL,Mimal,1717560,M08W,70,6,6,Front Left,,Holly L,Buffalo,-13.65194,134.1035,23,7,2022
AL,Mimal,1717560,M08W,70,6,1,Front Left,,Holly L,Cattle,-13.65179,134.1285,23,7,2022
AL,Mimal,1717560,M08W,70,6,1,Back Left,,Andrew Hoskins,Cattle,-13.65179,134.1291,23,7,2022
AL,Mimal,1717560,M08W,70,3,1,Front Left,,Holly L,Buffalo,-13.65173,133.7661,23,7,2022
